,Actor Name,Movie Title, Year of Publish
0,Adele,Wheels,1978
1,Adele,Cool Million,1972
2,Adele,The Alfred Hitchcock Hour,1962
3,Adele,The Tall Man,1960
4,Adele,Thriller,1960
5,Adele,The Life and Legend of Wyatt Earp,1955
6,Adele,Bachelor Father,1957
7,Adele,Lock Up,1959
8,Adele,Bringing Up Buddy,1960
9,Adele,The Red Skelton Hour,1951
10,Adele,Dante,1960
11,Adele,Stagecoach West,1960
12,Adele,Markham,1959
13,Adele,Laramie,1959
14,Adele,Maverick,1957
15,Adele,77 Sunset Strip,1958
16,Adele,Westinghouse Desilu Playhouse,1958
17,Adele,The Big Circus,1959
18,Adele,Tales of Wells Fargo,1957
19,Adele,Bat Masterson,1958
20,Adele,Curse of the Faceless Man,1958
21,Adele,Cheyenne,1955
22,Adele,Casey Jones,1957
23,Adele,The Magical World of Disney,1954
24,Adele,The Adventures of McGraw,1957
25,Adele,Conflict,1956
26,Adele,The Black Whip,1956
27,Adele,Back from Eternity,1956
28,Adele,The Adventures of Rin Tin Tin,1954
29,Adele,The Millionaire,1955
30,Adele,Studio 57,1954
31,Adele,Soldiers of Fortune,1955
32,Adele,Big Town,1950
33,Adele,Adventures of the Falcon,1954
34,Adele,The Lone Wolf,1954
35,Adele,Count the Hours!,1953
36,Adele,The Sea Hornet,1951
37,Adele,California Passage,1950
38,Adele,The Avengers,1950
39,Adele,Rock Island Trail,1950
40,Adele,Sands of Iwo Jima,1949
41,Adele,Wake of the Red Witch,1948
42,Adele,Nighttime in Nevada,1948
43,Adele,Angel in Exile,1948
44,Adele,"I, Jane Doe",1948
45,Adele,The Gallant Legion,1948
46,Adele,Campus Honeymoon,1948
47,Adele,The Main Street Kid,1947
48,Adele,Exposed,1947
49,Adele,Blackmail,1947
50,Adele,Robin Hood of Texas,1947
51,Adele,The Trespasser,1947
52,Adele,Web of Danger,1947
53,Adele,Twilight on the Rio Grande,1947
54,Adele,The Magnificent Rogue,1946
55,Adele,The Invisible Informer,1946
56,Adele,The Last Crooked Mile,1946
57,Adele,The Inner Circle,1946
58,Adele,Night Train to Memphis,1946
59,Adele,I've Always Loved You,1946
60,Adele,Traffic in Crime,1946
61,Adele,Passkey to Danger,1946
62,Adele,The Catman of Paris,1946
63,Adele,A Guy Could Change,1946
64,Adele,The Tiger Woman,1945
65,Adele,Girls of the Big House,1945
66,Adele,Song of Mexico,1945
67,Adele,Bells of Rosarita,1945
68,Adele,The Vampire's Ghost,1945
69,Adele,Earl Carroll Vanities,1945
70,Adele,Flame of Barbary Coast,1945
71,Adele,Grissly's Millions,1945
72,Adele,Thoroughbreds,1944
73,Adele,Faces in the Fog,1944
74,Adele,San Fernando Valley,1944
75,Adele,Atlantic City,1944
76,Adele,Call of the South Seas,1944
77,Adele,The Fighting Seabees,1944
78,Adele,A Rookie's Cookie,1943
79,Adele,Farmer for a Day,1943
80,Adele,I Can Hardly Wait,1943
81,Adele,"Good Luck, Mr. Yates",1943
82,Adele,Crime Doctor,1943
83,Adele,Back from the Front,1943
84,Adele,His Girl's Worst Friend,1943
85,Adele,Redhead from Manhattan,1943
86,Adele,Socks Appeal,1943
87,Adele,Riders of the Northwest Mounted,1943
88,Adele,Reveille with Beverly,1943
89,Adele,The Great Glover,1942
90,Adele,You Were Never Lovelier,1942
91,Adele,Kiss and Wake Up,1942
92,Adele,Lucky Legs,1942
93,Adele,Vengeance of the West,1942
94,Adele,Alias Boston Blackie,1942
95,Adele,Shut My Big Mouth,1942
96,Adele,Blondie Goes to College,1942
97,Adele,Honolulu Lu,1941
98,Adele,Navy Blues,1941
99,Angelina Jolie,Every Note Played - IMDb,NA
100,Angelina Jolie,Maleficent 3 - IMDb,NA
101,Angelina Jolie,Maude v Maude - IMDb,NA
102,Angelina Jolie,Maria - IMDb,NA
103,Angelina Jolie,Eternals,2021
104,Angelina Jolie,Those Who Wish Me Dead,2021
105,Angelina Jolie,The One and Only Ivan,2020
106,Angelina Jolie,Come Away,2020
107,Angelina Jolie,Maleficent: Mistress of Evil,2019
108,Angelina Jolie,Mon Guerlain: Notes of a Woman,2017
109,Angelina Jolie,Kung Fu Panda 3,2016
110,Angelina Jolie,By the Sea,2015
111,Angelina Jolie,Maleficent,2014
112,Angelina Jolie,Kung Fu Panda Po's Winter Wonderland,2012
113,Angelina Jolie,Kung Fu Panda: Secrets of the Masters,2011
114,Angelina Jolie,Kung Fu Panda 2,2011
115,Angelina Jolie,The Tourist,2010
116,Angelina Jolie,Kung Fu Panda Holiday,2010
117,Angelina Jolie,Salt,2010
118,Angelina Jolie,Wanted,2008
119,Angelina Jolie,Changeling,2008
120,Angelina Jolie,Kung Fu Panda,2008
121,Angelina Jolie,Beowulf,2007
122,Angelina Jolie,Entourage,2004
123,Angelina Jolie,A Mighty Heart,2007
124,Angelina Jolie,The Good Shepherd,2006
125,Angelina Jolie,Stars in Their Eyes Kids,2001
126,Angelina Jolie,Mr. & Mrs. Smith,2005
127,Angelina Jolie,Alexander,2004
128,Angelina Jolie,The Fever,2004
129,Angelina Jolie,Shark Tale,2004
130,Angelina Jolie,Sky Captain and the World of Tomorrow,2004
131,Angelina Jolie,Taking Lives,2004
132,Angelina Jolie,Beyond Borders,2003
133,Angelina Jolie,Korn: Did My Time,2003
134,Angelina Jolie,Lara Croft: Tomb Raider - The Cradle of Life,2003
135,Angelina Jolie,Life or Something Like It,2002
136,Angelina Jolie,Billy Bob Thornton: Angelina,2001
137,Angelina Jolie,Original Sin,2001
138,Angelina Jolie,Lara Croft: Tomb Raider,2001
139,Angelina Jolie,Gone in 60 Seconds,2000
140,Angelina Jolie,"Girl, Interrupted",1999
141,Angelina Jolie,The Bone Collector,1999
