,Profession,Entertainer,Gender (traditional),Birth Year,Runtime,Genre,IMDB_Rating,Meta_score,Gross,Director,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy,Year of Last Major Work (arguable),Year of Death,Picture,Number_films_act
0,Singer,Adele,F,1988,142 min,Drama,9.3,80,"2,83,41,469",Frank Darabont,2008,19,2009,2016,Alive,https://m.media-amazon.com/images/M/MV5BZmU3MTcwOGItZjNlZi00YTUyLWI2YTctZTM3YzRlOTNkZDY2XkEyXkFqcGdeQXVyMDMxMjQwMw@@.jpg,99
1,Actress,Angelina Jolie,F,1975,175 min,"Crime, Drama",9.2,100,"13,49,66,411",Francis Ford Coppola,1999,"Girl, Interrupted",1999,2016,Alive,https://m.media-amazon.com/images/M/MV5BODg3MzYwMjE4N15BMl5BanBnXkFtZTcwMjU5NzAzNw@@.jpg,66
2,Actress,Aretha Franklin,F,1942,152 min,"Action, Crime, Drama",9,84,"53,48,58,444",Christopher Nolan,1967,I Never Loved a Man (The Way I Love You),1968,2014,Alive,https://m.media-amazon.com/images/M/MV5BNjc1ODk0MTI5MV5BMl5BanBnXkFtZTgwMTMyNDExNjM@.jpg,22
3,Actress,Bette Davis,F,1908,202 min,"Crime, Drama",9,90,"5,73,00,000",Francis Ford Coppola,1934,Of Human Bondage,1935,1989,1989,https://m.media-amazon.com/images/M/MV5BZmMzMjdlMTQtNmE5ZC00NDQyLTg5NzUtZWU1Njg5ZDkwNDc2XkEyXkFqcGdeQXVyMDc2NTEzMw@@.jpg,124
4,Actress,Betty White,F,1922,96 min,"Crime, Drama",9,96,"43,60,000",Sidney Lumet,1952,Life with Elilzabeth,1976,2016,Alive,https://m.media-amazon.com/images/M/MV5BMjA2OTA5NTUyMF5BMl5BanBnXkFtZTcwNjMwNzYzMw@@.jpg,130
5,Actor,Bing Crosby,M,1903,201 min,"Action, Adventure, Drama",8.9,94,"37,78,45,905",Peter Jackson,1931,Several Songs,1962,1974,1977,https://m.media-amazon.com/images/M/MV5BZDdlMzdmMGEtMGE0MC00MWVhLTkzYmUtMzVhZWFiM2E2Yjg1XkEyXkFqcGdeQXVyMDc2NTEzMw@@.jpg,107
6,Actor,Bob Hope,M,1903,154 min,"Crime, Drama",8.9,94,"10,79,28,762",Quentin Tarantino,1938,The Big Broadcast of 1938,1940,1972,2003,https://m.media-amazon.com/images/M/MV5BNTY2MzA1MjU3MF5BMl5BanBnXkFtZTYwMzkxMDM2.jpg,98
7,Actress,Carol Burnett,F,1933,195 min,"Biography, Drama, History",8.9,94,"9,68,98,818",Steven Spielberg,1959,The Garry Moore Show,1962,2016,Alive,https://m.media-amazon.com/images/M/MV5BNjE2OTQxODkyMV5BMl5BanBnXkFtZTYwODM5MzQz.jpg,83
8,Actress,Carole Lombard,F,1908,148 min,"Action, Adventure, Sci-Fi",8.8,74,"29,25,76,195",Christopher Nolan,1934,Twentieth Century,Not Available,1942,1942,https://m.media-amazon.com/images/M/MV5BNTg5NjI3MDA5Nl5BMl5BanBnXkFtZTcwMzY3OTQ4Mg@@.jpg,78
9,Actress,Carrie Fisher,F,1956,139 min,Drama,8.8,66,"3,70,30,102",David Fincher,1977,Star Wars,Not Available,2016,2016,https://m.media-amazon.com/images/M/MV5BMjM4ODU5MDY4MV5BMl5BanBnXkFtZTgwODY1MjQ5MDI@.jpg,96
